                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                 1.0437,                0.75438,                 1.2498,                0.62076,                0.65112,                0.63474,                0.34019,                 1.5735,                 1.3212,                 1.5804,                0.00109,                0.00109,                0.00109
                     92,                 1.0301,                0.73942,                 1.2449,                  0.669,                0.65465,                0.66424,                0.35661,                 1.5624,                 1.3059,                 1.5766,               0.000991,               0.000991,               0.000991
                     93,                 1.0321,                0.72706,                 1.2604,                0.66934,                0.67662,                0.67697,                0.36761,                 1.5638,                   1.24,                 1.5893,               0.000892,               0.000892,               0.000892
                     94,                 1.0252,                0.70358,                 1.2484,                0.69569,                0.65599,                0.67816,                0.36377,                 1.5928,                 1.2824,                 1.5926,               0.000793,               0.000793,               0.000793
                     95,                 1.0184,                0.70533,                 1.2506,                0.66679,                0.65997,                 0.6736,                0.35787,                 1.6068,                  1.282,                 1.6123,               0.000694,               0.000694,               0.000694
                     96,                 1.0096,                0.70341,                 1.2401,                0.66567,                0.68527,                 0.6775,                0.36574,                 1.5745,                 1.2676,                 1.5848,               0.000595,               0.000595,               0.000595
                     97,                 1.0082,                0.69115,                 1.2263,                0.67289,                0.66215,                0.66895,                 0.3653,                 1.5873,                 1.2686,                 1.5907,               0.000496,               0.000496,               0.000496
                     98,                0.99036,                0.68459,                 1.2247,                0.68718,                0.65752,                0.67643,                0.36734,                 1.5828,                  1.265,                 1.5936,               0.000397,               0.000397,               0.000397
                     99,                0.98934,                0.67058,                 1.2198,                0.66894,                0.66927,                0.67059,                0.36251,                 1.5996,                 1.2757,                 1.6155,               0.000298,               0.000298,               0.000298
                    100,                0.98648,                0.67891,                  1.221,                0.68387,                0.65682,                0.67193,                0.35987,                 1.5976,                 1.2801,                 1.6118,               0.000199,               0.000199,               0.000199
